City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hoi an,15.8794,108.335,94.96,59.0,100,12.21,VN,1628046480
ubinskoye,55.3068,79.6802,61.97,79.0,96,4.43,RU,1628046480
paamiut,61.994,-49.6678,45.23,95.0,100,5.17,GL,1628046481
norman wells,65.282,-126.8329,55.27,76.0,100,2.33,CA,1628046481
punta arenas,-53.15,-70.9167,42.12,75.0,90,9.22,CL,1628046482
kapaa,22.0752,-159.319,84.18,77.0,75,5.01,US,1628046482
hokitika,-42.7167,170.9667,50.76,64.0,84,6.55,NZ,1628046482
honiara,-9.4333,159.95,81.27,81.0,58,5.14,SB,1628046483
albany,42.6001,-73.9662,63.55,85.0,100,2.62,US,1628046257
boca do acre,-8.7522,-67.3978,71.1,50.0,0,1.7,BR,1628046483
rikitea,-23.1203,-134.9692,70.16,62.0,64,14.14,PF,1628046361
walvis bay,-22.9575,14.5053,60.1,88.0,0,6.53,NA,1628046484
ushuaia,-54.8,-68.3,40.66,70.0,75,5.75,AR,1628046355
sola,-13.8833,167.55,77.52,72.0,59,16.67,VU,1628046485
tezu,27.9167,96.1667,90.14,59.0,41,3.18,IN,1628046485
dikson,73.5069,80.5464,45.54,87.0,100,9.57,RU,1628046281
vaini,-21.2,-175.2,73.56,78.0,40,12.66,TO,1628046486
hermanus,-34.4187,19.2345,50.9,88.0,34,5.3,ZA,1628046269
mar del plata,-38.0023,-57.5575,54.12,53.0,75,1.99,AR,1628046253
north bend,43.4065,-124.2243,62.92,94.0,75,16.11,US,1628046190
yellowknife,62.456,-114.3525,62.56,42.0,98,3,CA,1628046486
victoria,22.2855,114.1577,90.97,77.0,80,1.99,HK,1628046484
corinth,37.9407,22.9573,90.68,32.0,0,3.42,GR,1628046487
nikolo-pavlovskoye,57.7831,60.0578,69.24,86.0,57,2.93,RU,1628046487
saint-francois,46.4154,3.9054,57.67,99.0,90,1.14,FR,1628046488
yumen,40.2833,97.2,82.17,11.0,67,15.28,CN,1628046488
torbay,47.6666,-52.7314,61.68,85.0,67,5.01,CA,1628046199
new norfolk,-42.7826,147.0587,56.7,57.0,79,4,AU,1628046489
pisco,-13.7,-76.2167,62.65,82.0,90,3.44,PE,1628046304
muncar,-8.4333,114.3333,80.24,82.0,45,8.77,ID,1628046490
tuktoyaktuk,69.4541,-133.0374,46.76,68.0,10,11.92,CA,1628046422
alice springs,-23.7,133.8833,60.35,33.0,0,14.97,AU,1628046490
qaanaaq,77.484,-69.3632,42.4,95.0,100,1.79,GL,1628046359
seoni malwa,22.45,77.4667,73.76,94.0,100,14.56,IN,1628046491
holland,42.7875,-86.1089,67.44,68.0,1,0,US,1628046492
provideniya,64.3833,-173.3,51.91,82.0,90,8.95,RU,1628046492
okhotsk,59.3833,143.3,63.68,58.0,25,9.48,RU,1628046493
miri,4.4148,114.0089,85.96,64.0,80,5.97,MY,1628046493
chicama,-7.8447,-79.1469,66.43,79.0,2,6.42,PE,1628046493
kyabe,9.4515,18.9449,68.63,98.0,88,2.89,TD,1628046494
mahebourg,-20.4081,57.7,65.25,73.0,10,11.3,MU,1628046494
muli,2.9167,73.5667,82.22,72.0,100,4.61,MV,1628046494
ziro,27.6333,93.8333,72.79,64.0,97,0.78,IN,1628046495
cap malheureux,-19.9842,57.6142,65.46,75.0,5,1.99,MU,1628046495
kawerau,-38.1,176.7,59.67,36.0,16,4.83,NZ,1628046496
ilulissat,69.2167,-51.1,42.82,87.0,44,0,GL,1628046496
nikolskoye,59.7035,30.7861,53.02,94.0,13,5.41,RU,1628046370
lebu,-37.6167,-73.65,50.49,90.0,6,5.53,CL,1628046497
guerrero negro,27.9769,-114.0611,74.03,76.0,4,14.07,MX,1628046338
hobart,-42.8794,147.3294,57.06,50.0,40,4,AU,1628046494
bethel,41.3712,-73.414,66.81,84.0,1,0,US,1628046388
busselton,-33.65,115.3333,57.04,66.0,61,1.74,AU,1628046498
hithadhoo,-0.6,73.0833,81.82,75.0,100,7.9,MV,1628046336
kaitangata,-46.2817,169.8464,50.94,57.0,87,8.81,NZ,1628046296
kitimat,54.0524,-128.6534,62.98,95.0,100,0.45,CA,1628046498
phalombe,-15.8064,35.6507,52.48,83.0,0,2.95,MW,1628046499
klaksvik,62.2266,-6.589,50.92,88.0,100,5.53,FO,1628046260
fuyu,45.1833,124.8167,71.89,86.0,100,12.88,CN,1628046315
cape town,-33.9258,18.4232,57.11,85.0,52,1.99,ZA,1628046378
cabo san lucas,22.8909,-109.9124,86.61,77.0,73,7,MX,1628046402
port hardy,50.6996,-127.4199,65.03,83.0,86,8.77,CA,1628046500
jacareacanga,-6.2222,-57.7528,76.28,48.0,49,0.58,BR,1628046500
vanavara,60.34,102.2797,76.96,43.0,30,4.36,RU,1628046500
saldanha,-33.0117,17.9442,55,87.0,39,7.11,ZA,1628046501
jamestown,42.097,-79.2353,64.04,76.0,1,2.51,US,1628046213
port blair,11.6667,92.75,82.44,83.0,75,10.36,IN,1628046502
sierra vista,31.5545,-110.3037,84.67,45.0,1,9.22,US,1628046502
conceicao do araguaia,-8.2578,-49.2647,70.41,40.0,5,3.27,BR,1628046503
cherskiy,68.75,161.3,41.94,86.0,100,8.05,RU,1628046374
mataura,-46.1927,168.8643,46.47,65.0,100,4.25,NZ,1628046503
kahului,20.8947,-156.47,83.46,79.0,40,27.63,US,1628046481
portland,45.5234,-122.6762,86.45,42.0,0,1.01,US,1628045714
chuy,-33.6971,-53.4616,47.64,93.0,13,2.51,UY,1628046414
mount gambier,-37.8333,140.7667,54.39,85.0,71,13.04,AU,1628046505
puerto ayora,-0.7393,-90.3518,69.06,83.0,35,6.8,EC,1628046505
upernavik,72.7868,-56.1549,40.62,89.0,19,10.38,GL,1628046505
ribeira grande,38.5167,-28.7,72.01,88.0,2,4.79,PT,1628046306
atuona,-9.8,-139.0333,77.58,73.0,69,15.5,PF,1628046506
sitka,57.0531,-135.33,64.29,63.0,90,6.91,US,1628046433
sedro-woolley,48.5039,-122.2361,75.94,59.0,1,6.91,US,1628046506
axim,4.8699,-2.2405,75.74,91.0,97,6.96,GH,1628046320
severo-kurilsk,50.6789,156.125,54.07,69.0,100,18.54,RU,1628046265
emerald,-23.5333,148.1667,69.35,26.0,25,8.16,AU,1628046461
arraial do cabo,-22.9661,-42.0278,67.6,74.0,43,11.95,BR,1628046320
znamenskoye,57.1281,73.8282,62.92,83.0,55,7.34,RU,1628046507
anloga,5.7947,0.8973,76.48,90.0,100,14.56,GH,1628046508
kasongo-lunda,-6.4667,16.8167,65.77,34.0,3,0.38,CD,1628046508
ola,59.5833,151.2833,60.51,49.0,57,4.74,RU,1628046509
tirumullaivasal,11.2333,79.8333,85.96,59.0,100,10.16,IN,1628046509
terrace,54.5163,-128.6035,62.51,100.0,90,3.44,CA,1628046348
lompoc,34.6391,-120.4579,68.11,84.0,90,8.05,US,1628046415
turtas,58.9417,69.1325,65.62,71.0,0,4.07,RU,1628046510
barrow,71.2906,-156.7887,50.02,65.0,20,16.11,US,1628046510
hinton,53.4001,-117.5857,78.1,48.0,95,0.51,CA,1628046510
airai,-8.9266,125.4092,75.31,41.0,100,4.92,TL,1628046286
bluff,-46.6,168.3333,46.8,62.0,100,4.45,NZ,1628046511
dilla,6.41,38.31,60.98,88.0,76,3.49,ET,1628046511
kodiak,57.79,-152.4072,56.71,82.0,90,8.05,US,1628046512
hilo,19.7297,-155.09,78.53,82.0,90,9.22,US,1628046310
flinders,-34.5833,150.8552,61.05,50.0,18,11.99,AU,1628046512
badou,7.5833,0.6,71.74,92.0,96,1.1,TG,1628046512
bredasdorp,-34.5322,20.0403,50.29,95.0,36,2.59,ZA,1628046358
padang,-0.9492,100.3543,83.05,74.0,42,3,ID,1628046450
zadonsk,52.3904,38.9261,60.94,66.0,80,5.95,RU,1628046513
iqaluit,63.7506,-68.5145,43.7,87.0,99,15.01,CA,1628046514
fukue,32.6881,128.8419,83.3,73.0,41,8.9,JP,1628046514
port alfred,-33.5906,26.891,61.93,45.0,0,12.08,ZA,1628046256
half moon bay,37.4636,-122.4286,77.32,81.0,20,1.01,US,1628046443
saskylakh,71.9167,114.0833,67.59,32.0,42,13,RU,1628046515
ayagoz,47.9714,80.4392,74.05,42.0,70,13.82,KZ,1628046515
ponta do sol,32.6667,-17.1,71.01,79.0,12,5.26,PT,1628046396
aklavik,68.2191,-135.0107,62.29,36.0,0,5.23,CA,1628046426
avarua,-21.2078,-159.775,77.05,69.0,1,10.36,CK,1628046311
urumqi,43.801,87.6005,85.15,19.0,0,4.47,CN,1628046516
ust-maya,60.4167,134.5333,75.15,36.0,51,4.61,RU,1628046517
sabang,5.8933,95.3214,83.21,72.0,100,21.61,ID,1628046517
nanortalik,60.1432,-45.2371,44.19,97.0,100,4.59,GL,1628046517
port elizabeth,-33.918,25.5701,52.11,84.0,0,11.18,ZA,1628046518
meulaboh,4.1363,96.1285,81.55,75.0,98,3.83,ID,1628046518
tecoanapa,16.5167,-98.75,82.56,79.0,100,6.96,MX,1628046519
bambous virieux,-20.3428,57.7575,65.21,73.0,10,11.23,MU,1628046519
teknaf,20.8624,92.3058,82.08,82.0,85,14.29,BD,1628046520
mattru,7.6244,-11.8332,71.58,90.0,93,1.7,SL,1628046520
husavik,66.0449,-17.3389,51.58,83.0,96,0.85,IS,1628046491
sindor,62.8629,51.8905,63.36,98.0,85,2.73,RU,1628046521
yeppoon,-23.1333,150.7333,73.18,33.0,45,7.27,AU,1628046266
castro,-24.7911,-50.0119,43.18,94.0,36,4.72,BR,1628046521
butaritari,3.0707,172.7902,83.44,69.0,78,12.62,KI,1628046522
santiago del estero,-27.7951,-64.2615,52.81,39.0,45,7.34,AR,1628046523
mattawa,46.7379,-119.9028,94.64,40.0,3,9.4,US,1628046523
san quintin,30.4833,-115.95,70.74,77.0,2,14.34,MX,1628046279
pangnirtung,66.1451,-65.7125,49.82,78.0,88,3.2,CA,1628046525
esperance,-33.8667,121.9,57.04,71.0,91,4.88,AU,1628046526
mount vernon,40.9126,-73.8371,71.89,70.0,1,3.44,US,1628046526
komsomolskiy,40.4272,71.7189,83.12,32.0,1,4.61,UZ,1628046291
yulara,-25.2406,130.9889,60.64,33.0,0,12.66,AU,1628046527
lagoa,39.05,-27.9833,71.11,91.0,5,8.61,PT,1628046279
san borja,-14.8167,-66.85,66.36,55.0,86,4.18,BO,1628046527
saint-philippe,-21.3585,55.7679,65.79,86.0,97,18.16,RE,1628046305
turukhansk,65.8167,87.9833,71.92,57.0,8,8.99,RU,1628046503
boende,-0.2167,20.8667,76.21,48.0,96,1.12,CD,1628046528
coquimbo,-29.9533,-71.3436,53.33,87.0,90,0,CL,1628046377
forbes,-33.3833,148.0167,49.91,80.0,99,14.03,AU,1628046529
nioaque,-21.1353,-55.83,62.38,32.0,90,5.01,BR,1628046530
ostrovnoy,68.0531,39.5131,55.74,86.0,51,16.69,RU,1628046530
kieta,-6.2167,155.6333,83.43,76.0,34,6.26,PG,1628046531
arawa,-6.2132,155.5367,84.09,77.0,49,3.76,PG,1628046531
coolum beach,-26.5333,153.1,69.12,42.0,0,13,AU,1628046532
kismayo,-0.3582,42.5454,75.51,82.0,53,14.03,SO,1628046532
jieshi,22.8134,115.8257,86.95,77.0,91,16.64,CN,1628046533
kruszwica,52.6756,18.3313,58.32,79.0,96,3.04,PL,1628046533
las rosas,-32.4766,-61.5804,45.75,57.0,98,5.86,AR,1628046533
manokwari,-0.8667,134.0833,82.24,73.0,100,8.08,ID,1628046534
keti bandar,24.1447,67.4497,81.99,77.0,100,22.64,PK,1628046534
bardiyah,31.7561,25.0865,80.89,74.0,0,12.8,LY,1628046534
tiksi,71.6872,128.8694,45.07,72.0,76,10.36,RU,1628046535
bathsheba,13.2167,-59.5167,81.21,78.0,40,11.5,BB,1628046382
tual,-5.6667,132.75,80.76,73.0,97,18.59,ID,1628046535
itaituba,-4.2761,-55.9836,78.24,64.0,100,0.63,BR,1628046536
shache,38.4167,77.2406,80.04,30.0,100,4.03,CN,1628046536
birjand,32.8663,59.2211,76.12,17.0,1,14.27,IR,1628046317
san juan de la maguana,18.8059,-71.2299,75.07,93.0,96,2.53,DO,1628046537
viedma,-40.8135,-62.9967,47.66,74.0,43,8.43,AR,1628046431
sisimiut,66.9395,-53.6735,47.66,89.0,54,4.38,GL,1628046386
ankpa,7.3706,7.6253,70.09,97.0,96,4.5,NG,1628046538
inyonga,-6.7167,32.0667,60.71,63.0,2,4.18,TZ,1628046538
esik,43.3552,77.4525,80.02,24.0,0,5.5,KZ,1628046538
emba,48.8264,58.1442,88.48,17.0,6,2.98,KZ,1628046539
maniitsoq,65.4167,-52.9,43.7,93.0,92,9.1,GL,1628046539
bengkulu,-3.8004,102.2655,81.95,74.0,100,5.32,ID,1628046256
belaya gora,68.5333,146.4167,62.28,28.0,11,11.7,RU,1628046540
progreso,21.2833,-89.6667,77.11,76.0,18,13.15,MX,1628046540
otane,-39.8833,176.6333,53.38,47.0,3,9.48,NZ,1628046540
virginia beach,36.8529,-75.978,73.45,86.0,90,5.75,US,1628046384
ponta delgada,37.7333,-25.6667,72.32,83.0,40,6.91,PT,1628046541
college,64.8569,-147.8028,85.98,45.0,40,13.8,US,1628046541
fairbanks,64.8378,-147.7164,86,44.0,1,1.01,US,1628046506
east london,-33.0153,27.9116,67.32,25.0,0,10.09,ZA,1628046265
drumheller,51.4617,-112.7101,76.5,40.0,34,3.65,CA,1628046543
nyurba,63.2842,118.3319,79.61,35.0,73,13.11,RU,1628046543
hervey bay,-25.2986,152.8535,73.04,40.0,0,4,AU,1628046543
bubaque,11.2833,-15.8333,79.38,83.0,100,7.56,GW,1628046544
merauke,-8.4667,140.3333,82.31,69.0,38,13.53,ID,1628046417
guarapari,-20.6667,-40.4975,64.29,89.0,90,9.35,BR,1628046545
geraldton,-28.7667,114.6,57.61,67.0,0,16.11,AU,1628046286
olinda,-8.0089,-34.8553,71.33,94.0,90,4.61,BR,1628046546
port hedland,-20.3167,118.5667,78.85,14.0,59,23.02,AU,1628046546
clyde river,70.4692,-68.5914,37.11,92.0,60,4.23,CA,1628046274
ajdabiya,30.7554,20.2263,86.02,27.0,0,8.14,LY,1628046547
thunder bay,48.4001,-89.3168,67.28,77.0,36,2.84,CA,1628046320
katsina,12.9894,7.6006,74.37,84.0,26,9.26,NG,1628046547
along,28.1667,94.7667,87.71,66.0,97,0.94,IN,1628046433
pitimbu,-7.4706,-34.8086,72.19,87.0,47,11.79,BR,1628046548
labuhan,-6.8844,112.2051,85.08,64.0,8,3.56,ID,1628046470
paidha,2.4167,30.9855,59.22,91.0,26,4.07,UG,1628046548
tasiilaq,65.6145,-37.6368,44.76,86.0,100,2.51,GL,1628046549
moree,-29.4667,149.85,57.02,48.0,19,19.86,AU,1628046549
velikiy ustyug,60.7644,46.3106,61.36,79.0,99,4.27,RU,1628046550
goure,13.9835,10.2704,79.02,64.0,1,9.82,NE,1628046550
celle,52.6226,10.0805,63.16,85.0,75,3.44,DE,1628046551
victor harbor,-35.5667,138.6167,60.46,74.0,45,14.65,AU,1628046551
finnsnes,69.2296,17.9811,47.01,89.0,100,3.58,NO,1628046551
morro bay,35.3658,-120.8499,68.79,85.0,21,3,US,1628046477
chokurdakh,70.6333,147.9167,57.47,31.0,29,13.29,RU,1628046288
diamantino,-14.4086,-56.4461,71.42,41.0,85,4.05,BR,1628046552
kununurra,-15.7667,128.7333,85.98,19.0,98,13.8,AU,1628046553
kupang,-10.1667,123.5833,90.18,40.0,20,18.41,ID,1628046553
kiruna,67.8557,20.2251,45.52,71.0,100,10.36,SE,1628046553
khatanga,71.9667,102.5,76.08,44.0,100,12.66,RU,1628046378
morgan city,29.6994,-91.2068,78.04,100.0,90,3.44,US,1628046554
talagang,32.9297,72.4158,78.64,75.0,85,21.39,PK,1628046554
pevek,69.7008,170.3133,36.64,93.0,100,3.67,RU,1628046554
qui nhon,13.7667,109.2333,85.82,66.0,100,16.4,VN,1628046555
oyama,36.3,139.8,94.89,48.0,88,3.13,JP,1628046555
taicheng,38.731,113.228,77.9,50.0,59,4.56,CN,1628046556
isangel,-19.55,169.2667,75.27,55.0,61,6.33,VU,1628046556
kaeo,-35.1,173.7833,64.33,63.0,86,7.52,NZ,1628046557
xingcheng,40.6167,120.7167,77.23,82.0,100,9.06,CN,1628046557
nipawin,53.3668,-104.0009,66.24,100.0,90,2.3,CA,1628046422
hobyo,5.3505,48.5268,76.96,79.0,82,20.27,SO,1628046558
vardo,70.3705,31.1107,48.4,96.0,100,35.14,NO,1628046305
mount pleasant,32.7941,-79.8626,73.99,97.0,75,1.99,US,1628046336
nakskov,54.8373,11.1284,50.11,74.0,7,7.96,DK,1628046558
longyearbyen,78.2186,15.6401,46.24,71.0,75,21.85,SJ,1628046465
leningradskiy,69.3833,178.4167,40.08,100.0,100,3.53,RU,1628046390
tazovskiy,67.4667,78.7,55.87,95.0,100,5.84,RU,1628046559
hasaki,35.7333,140.8333,95.29,71.0,47,8.75,JP,1628046559
gidole,5.65,37.3667,57.9,64.0,97,4.99,ET,1628046560
maketu,-37.7667,176.45,60.03,59.0,18,10.09,NZ,1628046560
coihaique,-45.5752,-72.0662,37.35,81.0,0,6.91,CL,1628046560
peleduy,59.6289,112.7406,62.83,82.0,100,2.17,RU,1628046561
maputo,-25.9653,32.5892,58.77,86.0,0,7.38,MZ,1628046561
talnakh,69.4865,88.3972,74.61,46.0,0,10.27,RU,1628046562
lorengau,-2.0226,147.2712,83.86,75.0,27,6.71,PG,1628046562
namibe,-15.1961,12.1522,65.68,69.0,0,8.57,AO,1628046368
kavaratti,10.5669,72.642,82.35,75.0,100,15.41,IN,1628046263
neryungri,56.6709,124.6491,69.28,67.0,99,5.93,RU,1628046563
saint-augustin,51.226,-58.6502,58.46,89.0,83,15.12,CA,1628046564
vestmannaeyjar,63.4427,-20.2734,53.98,92.0,100,7.76,IS,1628046407
haines junction,60.7522,-137.5108,69.96,42.0,79,1.77,CA,1628046564
alekseyevsk,57.8406,108.3492,68.09,65.0,73,4.18,RU,1628046564
georgetown,5.4112,100.3354,87.89,75.0,20,1.01,MY,1628046427
prince george,53.9166,-122.753,75.29,48.0,78,4.32,CA,1628046565
lucapa,-8.4192,20.7447,62.92,36.0,0,4.65,AO,1628046565
laguna,38.421,-121.4238,97.3,19.0,1,6.91,US,1628046399
cervo,43.6702,-7.4101,67.19,93.0,100,8.3,ES,1628046566
sibu,2.3,111.8167,90.5,55.0,92,2.64,MY,1628046566
astana,51.1801,71.446,67.95,56.0,0,4.47,KZ,1628046566
greensboro,36.0726,-79.792,68.88,78.0,75,5.75,US,1628046268
hualmay,-11.0964,-77.6139,64.02,83.0,9,10.04,PE,1628046442
lakeside,30.13,-81.7682,77.38,93.0,40,0,US,1628046567
plettenberg bay,-34.0527,23.3716,54.84,73.0,0,5.95,ZA,1628046481
bridlington,54.0831,-0.1919,57.88,90.0,94,9.71,GB,1628046568
kidal,18.4411,1.4078,85.33,48.0,65,6.44,ML,1628046568
waslala,13.2333,-85.3833,71.56,97.0,100,2.39,NI,1628046569
henties bay,-22.116,14.2845,59.86,82.0,0,5.93,NA,1628046512
broome,42.2506,-75.833,62.47,91.0,24,1.36,US,1628046569
sao filipe,14.8961,-24.4956,76.17,92.0,100,7.38,CV,1628046570
angoche,-16.2325,39.9086,66.34,88.0,7,7.2,MZ,1628046570
bagdarin,54.4333,113.6,57.83,90.0,99,1.14,RU,1628046570
novosokolniki,56.3463,30.1578,52.63,93.0,64,4.32,RU,1628046571
cobija,-11.0267,-68.7692,69.22,45.0,10,2.93,BO,1628046571
pandrup,57.2215,9.6757,51.71,87.0,47,6.91,DK,1628046572
kungurtug,50.5994,97.5228,69.91,42.0,1,1.45,RU,1628046572
ambunti,-4.2365,142.8448,90.82,56.0,50,0.72,PG,1628046497
smithers,54.7804,-127.1743,64.96,64.0,99,2.42,CA,1628046474
palmer,42.1584,-72.3287,64.44,84.0,75,0,US,1628046573
rykhtychi,49.3851,23.5566,59.02,74.0,90,3.06,UA,1628046573
mount isa,-20.7333,139.5,65.97,24.0,22,17.27,AU,1628046408
camalu,30.85,-116.0667,75.42,67.0,0,8.39,MX,1628046574
mana,5.6592,-53.7767,76.32,86.0,5,5.75,GF,1628046574
olafsvik,64.8945,-23.7142,53.37,91.0,95,8.32,IS,1628046293
datong,40.0936,113.2914,81.01,34.0,14,9.62,CN,1628046575
atagay,55.1033,99.3875,76.68,52.0,31,2.17,RU,1628046575
praia da vitoria,38.7333,-27.0667,70.75,88.0,13,7.34,PT,1628046575
sunrise manor,36.2111,-115.0731,107.11,14.0,1,0,US,1628046474
boguchany,58.3814,97.4531,75.87,45.0,0,2.55,RU,1628046576
sao joao da barra,-21.6403,-41.0511,64.33,89.0,65,10.56,BR,1628046577
carnarvon,-24.8667,113.6333,69.87,33.0,0,14.97,AU,1628046578
atar,20.5169,-13.0499,87.26,47.0,100,8.14,MR,1628046578
pangody,65.85,74.4859,60.46,78.0,100,7.07,RU,1628046374
suntar,62.1444,117.6319,64.17,90.0,100,5.17,RU,1628046404
oranjemund,-28.55,16.4333,57.18,81.0,1,5.53,NA,1628046579
kayes,14,-11,76.91,82.0,49,1.45,ML,1628046579
innisfail,-17.5333,146.0333,87.87,61.0,9,10.38,AU,1628046580
